benchmark,title,group,code,family,BU,schedule,original_range,step,ak_annual_salary,market_target_annual_salary,percentile,nearest_range,range_change
100,Measurement Standards Supervisor,Business Development and Regulation,PC0355,PC03 ‐ Safety Inspection,SS,200,18,O,101130,,65,,
101,"Chief, Weights, Measures, and Permits",Business Development and Regulation,PC0360,PC03 ‐ Safety Inspection,SS,200,22,A,95326,89788.0,65,21,-1
101,"Chief, Weights, Measures, and Permits",Business Development and Regulation,PC0360,PC03 ‐ Safety Inspection,SS,200,22,E,108867,115074.0,65,23,1
101,"Chief, Weights, Measures, and Permits",Business Development and Regulation,PC0360,PC03 ‐ Safety Inspection,SS,200,22,O,131893,136616.0,65,22,0
102,State Metrologist 2,Business Development and Regulation,PC0362,PC03 ‐ Safety Inspection,GP,200,18,A,66788,90251.0,65,22,4
102,State Metrologist 2,Business Development and Regulation,PC0362,PC03 ‐ Safety Inspection,GP,200,18,F,79268,99619.0,65,21,3
102,State Metrologist 2,Business Development and Regulation,PC0362,PC03 ‐ Safety Inspection,GP,200,18,O,99899,110056.0,65,19,1
103,Environmental Health Technician,Business Development and Regulation,PC0401,PC04 ‐ Environmental Health,GP,200,13,A,47307,49331.0,65,14,1
103,Environmental Health Technician,Business Development and Regulation,PC0401,PC04 ‐ Environmental Health,GP,200,13,F,55985,56986.0,65,13,0
103,Environmental Health Technician,Business Development and Regulation,PC0401,PC04 ‐ Environmental Health,GP,200,13,O,70844,66269.0,65,12,-1
104,Environmental Health Officer 2,Business Development and Regulation,PC0412,PC04 ‐ Environmental Health,GP,200,16,A,57974,67520.0,65,18,2
104,Environmental Health Officer 2,Business Development and Regulation,PC0412,PC04 ‐ Environmental Health,GP,200,16,F,69147,80025.0,65,18,2
104,Environmental Health Officer 2,Business Development and Regulation,PC0412,PC04 ‐ Environmental Health,GP,200,16,O,87399,92529.0,65,17,1
105,Environmental Health Officer 4,Business Development and Regulation,PC0414,PC04 ‐ Environmental Health,SS,200,20,A,83470,84126.0,65,20,0
105,Environmental Health Officer 4,Business Development and Regulation,PC0414,PC04 ‐ Environmental Health,SS,200,20,E,95326,106738.0,65,22,2
105,Environmental Health Officer 4,Business Development and Regulation,PC0414,PC04 ‐ Environmental Health,SS,200,20,O,115502,132211.0,65,22,2
106,Tax Technician 3,Business Development and Regulation,PC0503,PC05 ‐ Revenue Audit,GP,200,14,A,50466,55976.0,65,16,2
106,Tax Technician 3,Business Development and Regulation,PC0503,PC05 ‐ Revenue Audit,GP,200,14,F,60138,70804.0,65,16,2
106,Tax Technician 3,Business Development and Regulation,PC0503,PC05 ‐ Revenue Audit,GP,200,14,O,75914,86162.0,65,16,2
107,Tax Technician 4,Business Development and Regulation,PC0504,PC05 ‐ Revenue Audit,SS,200,16,A,63461,117716.0,65,25,9
107,Tax Technician 4,Business Development and Regulation,PC0504,PC05 ‐ Revenue Audit,SS,200,16,E,72925,130576.0,65,25,9
107,Tax Technician 4,Business Development and Regulation,PC0504,PC05 ‐ Revenue Audit,SS,200,16,O,88338,145006.0,65,23,7
108,Tax Auditor 3,Business Development and Regulation,PC0513,PC05 ‐ Revenue Audit,GP,200,20,A,76440,85799.0,65,22,2
108,Tax Auditor 3,Business Development and Regulation,PC0513,PC05 ‐ Revenue Audit,GP,200,20,F,90539,95429.0,65,21,1
108,Tax Auditor 3,Business Development and Regulation,PC0513,PC05 ‐ Revenue Audit,GP,200,20,O,114192,113026.0,65,20,0
109,Revenue Audit Supervisor 2,Business Development and Regulation,PC0522,PC05 ‐ Revenue Audit,SS,200,25,A,116688,88948.0,65,21,-4
109,Revenue Audit Supervisor 2,Business Development and Regulation,PC0522,PC05 ‐ Revenue Audit,SS,200,25,E,133994,113094.0,65,23,-2
109,Revenue Audit Supervisor 2,Business Development and Regulation,PC0522,PC05 ‐ Revenue Audit,SS,200,25,O,162323,135003.0,65,22,-3
110,Revenue Appeals Officer 2,Business Development and Regulation,PC0532,PC05 ‐ Revenue Audit,GP,200,25,A,107153,82854.0,65,21,-4
110,Revenue Appeals Officer 2,Business Development and Regulation,PC0532,PC05 ‐ Revenue Audit,GP,200,25,F,127764,101481.0,65,22,-3
110,Revenue Appeals Officer 2,Business Development and Regulation,PC0532,PC05 ‐ Revenue Audit,GP,200,25,O,161831,120153.0,65,21,-4
111,Revenue Appeals Supervisor,Business Development and Regulation,PC0533,PC05 ‐ Revenue Audit,SS,200,26,A,120598,91416.0,65,21,-5
111,Revenue Appeals Supervisor,Business Development and Regulation,PC0533,PC05 ‐ Revenue Audit,SS,200,26,E,138798,120013.0,65,23,-3
111,Revenue Appeals Supervisor,Business Development and Regulation,PC0533,PC05 ‐ Revenue Audit,SS,200,26,O,168147,148609.0,65,24,-2
112,Oil and Gas Revenue Auditor 3,Business Development and Regulation,PC0543,PC05 ‐ Revenue Audit,GP,200,22,A,87341,101280.0,65,24,2
112,Oil and Gas Revenue Auditor 3,Business Development and Regulation,PC0543,PC05 ‐ Revenue Audit,GP,200,22,F,103740,111152.0,65,23,1
112,Oil and Gas Revenue Auditor 3,Business Development and Regulation,PC0543,PC05 ‐ Revenue Audit,GP,200,22,O,130943,128301.0,65,22,0
113,Oil and Gas Revenue Specialist,Business Development and Regulation,PC0545,PC05 ‐ Revenue Audit,GP,200,25,A,107153,120690.0,65,27,2
113,Oil and Gas Revenue Specialist,Business Development and Regulation,PC0545,PC05 ‐ Revenue Audit,GP,200,25,F,127764,135706.0,65,27,2
113,Oil and Gas Revenue Specialist,Business Development and Regulation,PC0545,PC05 ‐ Revenue Audit,GP,200,25,O,161831,152097.0,65,24,-1
114,Corporate Income Tax Auditor 3,Business Development and Regulation,PC0553,PC05 ‐ Revenue Audit,GP,200,22,A,87341,101192.0,65,24,2
114,Corporate Income Tax Auditor 3,Business Development and Regulation,PC0553,PC05 ‐ Revenue Audit,GP,200,22,F,103740,111898.0,65,23,1
114,Corporate Income Tax Auditor 3,Business Development and Regulation,PC0553,PC05 ‐ Revenue Audit,GP,200,22,O,130943,126095.0,65,21,-1
115,Audit and Review Analyst 2,Business Development and Regulation,PC0563,PC05 ‐ Revenue Audit,GP,200,21,A,81764,69813.0,65,19,-2
115,Audit and Review Analyst 2,Business Development and Regulation,PC0563,PC05 ‐ Revenue Audit,GP,200,21,F,96759,86067.0,65,19,-2
115,Audit and Review Analyst 2,Business Development and Regulation,PC0563,PC05 ‐ Revenue Audit,GP,200,21,O,122226,102899.0,65,18,-3
116,Audit and Review Analyst 4,Business Development and Regulation,PC0565,PC05 ‐ Revenue Audit,SS,200,25,A,116688,123247.0,65,27,2
116,Audit and Review Analyst 4,Business Development and Regulation,PC0565,PC05 ‐ Revenue Audit,SS,200,25,E,133994,138667.0,65,26,1
116,Audit and Review Analyst 4,Business Development and Regulation,PC0565,PC05 ‐ Revenue Audit,SS,200,25,O,162323,155129.0,65,24,-1
117,Local Government Specialist 3,Government Management and Infrastructure,PD0103,PD01 ‐ Government Management and Operations,GP,200,17,A,62069,63160.0,65,17,0
117,Local Government Specialist 3,Government Management and Infrastructure,PD0103,PD01 ‐ Government Management and Operations,GP,200,17,F,74003,82182.0,65,19,2
117,Local Government Specialist 3,Government Management and Infrastructure,PD0103,PD01 ‐ Government Management and Operations,GP,200,17,O,93386,103643.0,65,19,2
118,Regulations Specialist 2,Government Management and Infrastructure,PD0122,PD01 ‐ Government Management and Operations,GP,200,16,A,57974,63667.0,65,17,1
118,Regulations Specialist 2,Government Management and Infrastructure,PD0122,PD01 ‐ Government Management and Operations,GP,200,16,F,69147,74576.0,65,17,1
118,Regulations Specialist 2,Government Management and Infrastructure,PD0122,PD01 ‐ Government Management and Operations,GP,200,16,O,87399,86058.0,65,16,0
119,Economist 2,Government Management and Infrastructure,PD0202,PD02 ‐ Economic Research,GP,200,18,A,66788,120254.0,65,27,9
119,Economist 2,Government Management and Infrastructure,PD0202,PD02 ‐ Economic Research,GP,200,18,F,79268,140712.0,65,27,9
119,Economist 2,Government Management and Infrastructure,PD0202,PD02 ‐ Economic Research,GP,200,18,O,99899,153731.0,65,24,6
120,Petroleum Economist 2,Government Management and Infrastructure,PD0222,PD02 ‐ Economic Research,GP,200,22,A,87341,123109.0,65,27,5
120,Petroleum Economist 2,Government Management and Infrastructure,PD0222,PD02 ‐ Economic Research,GP,200,22,F,103740,143368.0,65,27,5
120,Petroleum Economist 2,Government Management and Infrastructure,PD0222,PD02 ‐ Economic Research,GP,200,22,O,130943,159750.0,65,25,3
121,Planner 2,Government Management and Infrastructure,PD0332,PD03 ‐ Development and Infrastructure Planning,GP,200,17,A,62069,72088.0,65,19,2
121,Planner 2,Government Management and Infrastructure,PD0332,PD03 ‐ Development and Infrastructure Planning,GP,200,17,F,74003,85438.0,65,19,2
121,Planner 2,Government Management and Infrastructure,PD0332,PD03 ‐ Development and Infrastructure Planning,GP,200,17,O,93386,95085.0,65,17,0
122,Transportation Planner 1,Government Management and Infrastructure,PD0341,PD03 ‐ Development and Infrastructure Planning,GP,200,21,A,81764,79303.0,65,21,0
122,Transportation Planner 1,Government Management and Infrastructure,PD0341,PD03 ‐ Development and Infrastructure Planning,GP,200,21,F,96759,97921.0,65,21,0
122,Transportation Planner 1,Government Management and Infrastructure,PD0341,PD03 ‐ Development and Infrastructure Planning,GP,200,21,O,122226,111758.0,65,20,-1
123,Transportation Planner 2,Government Management and Infrastructure,PD0342,PD03 ‐ Development and Infrastructure Planning,SS,200,22,A,95326,96146.0,65,22,0
123,Transportation Planner 2,Government Management and Infrastructure,PD0342,PD03 ‐ Development and Infrastructure Planning,SS,200,22,E,108867,116122.0,65,23,1
123,Transportation Planner 2,Government Management and Infrastructure,PD0342,PD03 ‐ Development and Infrastructure Planning,SS,200,22,O,131893,131133.0,65,22,0
124,Emergency Management Specialist 2,Government Management and Infrastructure,PD0412,PD04 ‐ Emergency Planning and Response,GP,200,16,A,57974,89739.0,65,22,6
124,Emergency Management Specialist 2,Government Management and Infrastructure,PD0412,PD04 ‐ Emergency Planning and Response,GP,200,16,F,69147,102815.0,65,22,6
124,Emergency Management Specialist 2,Government Management and Infrastructure,PD0412,PD04 ‐ Emergency Planning and Response,GP,200,16,O,87399,116357.0,65,20,4
125,Emergency Program Manager 1,Government Management and Infrastructure,PD0421,PD04 ‐ Emergency Planning and Response,SS,200,20,A,83470,96597.0,65,22,2
125,Emergency Program Manager 1,Government Management and Infrastructure,PD0421,PD04 ‐ Emergency Planning and Response,SS,200,20,E,95326,116732.0,65,23,3
125,Emergency Program Manager 1,Government Management and Infrastructure,PD0421,PD04 ‐ Emergency Planning and Response,SS,200,20,O,115502,137350.0,65,23,3
126,Emergency Services Dispatcher 1,Government Management and Infrastructure,PD0442,PD04 ‐ Emergency Planning and Response,GP,100,15,A,54483,52093.0,65,14,-1
126,Emergency Services Dispatcher 1,Government Management and Infrastructure,PD0442,PD04 ‐ Emergency Planning and Response,GP,100,15,F,65072,64280.0,65,15,0
126,Emergency Services Dispatcher 1,Government Management and Infrastructure,PD0442,PD04 ‐ Emergency Planning and Response,GP,100,15,O,82329,77682.0,65,14,-1
127,Emergency Dispatch Supervisor,Government Management and Infrastructure,PD0450,PD04 ‐ Emergency Planning and Response,SS,100,18,A,72925,73705.0,65,18,0
127,Emergency Dispatch Supervisor,Government Management and Infrastructure,PD0450,PD04 ‐ Emergency Planning and Response,SS,100,18,E,83470,88967.0,65,19,1
127,Emergency Dispatch Supervisor,Government Management and Infrastructure,PD0450,PD04 ‐ Emergency Planning and Response,SS,100,18,O,101130,104986.0,65,19,1
129,State Logistics Center Coordinator,Government Management and Infrastructure,PD0473,PD04 ‐ Emergency Planning and Response,SS,500,16,A,62837,98466.0,65,23,7
129,State Logistics Center Coordinator,Government Management and Infrastructure,PD0473,PD04 ‐ Emergency Planning and Response,SS,500,16,E,72176,111350.0,65,22,6
129,State Logistics Center Coordinator,Government Management and Infrastructure,PD0473,PD04 ‐ Emergency Planning and Response,SS,500,16,O,87422,125273.0,65,21,5
128,Wildland Fire Dispatcher 3,Government Management and Infrastructure,PD04A3,PD04 ‐ Emergency Planning and Response,GP,100,15,A,54483,53601.0,65,15,0
128,Wildland Fire Dispatcher 3,Government Management and Infrastructure,PD04A3,PD04 ‐ Emergency Planning and Response,GP,100,15,F,65072,59818.0,65,14,-1
128,Wildland Fire Dispatcher 3,Government Management and Infrastructure,PD04A3,PD04 ‐ Emergency Planning and Response,GP,100,15,O,82329,65567.0,65,12,-3
130,Airport Manager ‐ Anchorage International Airport,Government Management and Infrastructure,PD0501,PD05 ‐ Airport Administration,XE,N00,25,A,109493,120037.0,65,28,3
130,Airport Manager ‐ Anchorage International Airport,Government Management and Infrastructure,PD0501,PD05 ‐ Airport Administration,XE,N00,25,F,130416,135382.0,65,26,1
130,Airport Manager ‐ Anchorage International Airport,Government Management and Infrastructure,PD0501,PD05 ‐ Airport Administration,XE,N00,25,O,157989,159111.0,65,25,0
131,Airport Manager ‐ Fairbanks International Airport,Government Management and Infrastructure,PD0502,PD05 ‐ Airport Administration,XE,N00,24,A,102297,104903.0,65,24,0
131,Airport Manager ‐ Fairbanks International Airport,Government Management and Infrastructure,PD0502,PD05 ‐ Airport Administration,XE,N00,24,F,121329,122233.0,65,24,0
131,Airport Manager ‐ Fairbanks International Airport,Government Management and Infrastructure,PD0502,PD05 ‐ Airport Administration,XE,N00,24,O,147011,141540.0,65,23,-1
132,International Airports Controller,Government Management and Infrastructure,PD0505,PD05 ‐ Airport Administration,XE,N00,24,A,102297,127899.0,65,29,5
132,International Airports Controller,Government Management and Infrastructure,PD0505,PD05 ‐ Airport Administration,XE,N00,24,F,121329,148438.0,65,29,5
132,International Airports Controller,Government Management and Infrastructure,PD0505,PD05 ‐ Airport Administration,XE,N00,24,O,147011,165337.0,65,26,2
133,Airport Operations Officer,Government Management and Infrastructure,PD0511,PD05 ‐ Airport Administration,GP,200,18,A,66788,79958.0,65,21,3
133,Airport Operations Officer,Government Management and Infrastructure,PD0511,PD05 ‐ Airport Administration,GP,200,18,F,79268,92461.0,65,20,2
133,Airport Operations Officer,Government Management and Infrastructure,PD0511,PD05 ‐ Airport Administration,GP,200,18,O,99899,105618.0,65,19,1
134,Airport Operations Specialist,Government Management and Infrastructure,PD0512,PD05 ‐ Airport Administration,GP,200,19,A,71526,67503.0,65,18,-1
134,Airport Operations Specialist,Government Management and Infrastructure,PD0512,PD05 ‐ Airport Administration,GP,200,19,F,84767,80701.0,65,18,-1
134,Airport Operations Specialist,Government Management and Infrastructure,PD0512,PD05 ‐ Airport Administration,GP,200,19,O,106763,94339.0,65,17,-2
135,Airport Operations Superintendent,Government Management and Infrastructure,PD0513,PD05 ‐ Airport Administration,SS,200,21,A,89232,96974.0,65,22,1
135,Airport Operations Superintendent,Government Management and Infrastructure,PD0513,PD05 ‐ Airport Administration,SS,200,21,E,101795,119803.0,65,23,2
135,Airport Operations Superintendent,Government Management and Infrastructure,PD0513,PD05 ‐ Airport Administration,SS,200,21,O,123344,142632.0,65,23,2
136,Regional Safety and Airport Security Officer,Government Management and Infrastructure,PD0562,PD05 ‐ Airport Administration,GP,200,18,A,66788,75863.0,65,20,2
136,Regional Safety and Airport Security Officer,Government Management and Infrastructure,PD0562,PD05 ‐ Airport Administration,GP,200,18,F,79268,89785.0,65,20,2
136,Regional Safety and Airport Security Officer,Government Management and Infrastructure,PD0562,PD05 ‐ Airport Administration,GP,200,18,O,99899,108394.0,65,19,1
137,Ferry Terminal Agent 1,Government Management and Infrastructure,PD0611,PD06 ‐ Ferry System Administration,GP,200,13,A,47307,,65,,
137,Ferry Terminal Agent 1,Government Management and Infrastructure,PD0611,PD06 ‐ Ferry System Administration,GP,200,13,F,55985,,65,,
137,Ferry Terminal Agent 1,Government Management and Infrastructure,PD0611,PD06 ‐ Ferry System Administration,GP,200,13,O,70844,,65,,
138,Ferry Terminal Manager 1,Government Management and Infrastructure,PD0615,PD06 ‐ Ferry System Administration,SS,600,15,A,58531,69846.0,65,18,3
138,Ferry Terminal Manager 1,Government Management and Infrastructure,PD0615,PD06 ‐ Ferry System Administration,SS,600,15,E,67330,76187.0,65,17,2
138,Ferry Terminal Manager 1,Government Management and Infrastructure,PD0615,PD06 ‐ Ferry System Administration,SS,600,15,O,81578,84422.0,65,15,0
139,AMHS Dispatch Manager,Government Management and Infrastructure,PD0620,PD06 ‐ Ferry System Administration,KK,200,18,A,70782,67695.0,65,17,-1
139,AMHS Dispatch Manager,Government Management and Infrastructure,PD0620,PD06 ‐ Ferry System Administration,KK,200,18,F,83886,75270.0,65,16,-2
139,AMHS Dispatch Manager,Government Management and Infrastructure,PD0620,PD06 ‐ Ferry System Administration,KK,200,18,O,101629,84549.0,65,15,-3
140,Reservation Call Center Supervisor,Government Management and Infrastructure,PD0632,PD06 ‐ Ferry System Administration,SS,200,16,A,63461,77319.0,65,19,3
140,Reservation Call Center Supervisor,Government Management and Infrastructure,PD0632,PD06 ‐ Ferry System Administration,SS,200,16,E,72925,87284.0,65,19,3
140,Reservation Call Center Supervisor,Government Management and Infrastructure,PD0632,PD06 ‐ Ferry System Administration,SS,200,16,O,88338,97946.0,65,18,2
141,Marine Traffic Manager,Government Management and Infrastructure,PD0639,PD06 ‐ Ferry System Administration,SS,200,23,A,101795,85947.0,65,20,-3
141,Marine Traffic Manager,Government Management and Infrastructure,PD0639,PD06 ‐ Ferry System Administration,SS,200,23,E,116688,106180.0,65,22,-1
141,Marine Traffic Manager,Government Management and Infrastructure,PD0639,PD06 ‐ Ferry System Administration,SS,200,23,O,141357,125647.0,65,21,-2
142,Marine Pilot Coordinator,Government Management and Infrastructure,PD0642,PD06 ‐ Ferry System Administration,XE,N00,20,A,78254,,65,,
142,Marine Pilot Coordinator,Government Management and Infrastructure,PD0642,PD06 ‐ Ferry System Administration,XE,N00,20,F,92781,,65,,
142,Marine Pilot Coordinator,Government Management and Infrastructure,PD0642,PD06 ‐ Ferry System Administration,XE,N00,20,O,112418,,65,,
143,Vessel Scheduling Coordinator,Government Management and Infrastructure,PD0643,PD06 ‐ Ferry System Administration,GP,200,17,A,62069,,65,,
143,Vessel Scheduling Coordinator,Government Management and Infrastructure,PD0643,PD06 ‐ Ferry System Administration,GP,200,17,F,74003,,65,,
143,Vessel Scheduling Coordinator,Government Management and Infrastructure,PD0643,PD06 ‐ Ferry System Administration,GP,200,17,O,93386,,65,,
144,Passenger Services Inspector,Government Management and Infrastructure,PD0644,PD06 ‐ Ferry System Administration,GP,200,17,A,62069,54962.0,65,15,-2
144,Passenger Services Inspector,Government Management and Infrastructure,PD0644,PD06 ‐ Ferry System Administration,GP,200,17,F,74003,67875.0,65,16,-1
144,Passenger Services Inspector,Government Management and Infrastructure,PD0644,PD06 ‐ Ferry System Administration,GP,200,17,O,93386,80787.0,65,15,-2
145,AMHS Passenger Services Manager,Government Management and Infrastructure,PD0646,PD06 ‐ Ferry System Administration,SS,200,23,A,101795,101773.0,65,23,0
145,AMHS Passenger Services Manager,Government Management and Infrastructure,PD0646,PD06 ‐ Ferry System Administration,SS,200,23,E,116688,111278.0,65,22,-1
145,AMHS Passenger Services Manager,Government Management and Infrastructure,PD0646,PD06 ‐ Ferry System Administration,SS,200,23,O,141357,126467.0,65,21,-2
146,Port Captain,Government Management and Infrastructure,PD0653,PD06 ‐ Ferry System Administration,SS,200,23,A,101795,,65,,
146,Port Captain,Government Management and Infrastructure,PD0653,PD06 ‐ Ferry System Administration,SS,200,23,E,116688,,65,,
146,Port Captain,Government Management and Infrastructure,PD0653,PD06 ‐ Ferry System Administration,SS,200,23,O,141357,,65,,
147,Port Engineer,Government Management and Infrastructure,PD0655,PD06 ‐ Ferry System Administration,SS,200,22,A,95326,107468.0,65,24,2
147,Port Engineer,Government Management and Infrastructure,PD0655,PD06 ‐ Ferry System Administration,SS,200,22,E,108867,124559.0,65,24,2
147,Port Engineer,Government Management and Infrastructure,PD0655,PD06 ‐ Ferry System Administration,SS,200,22,O,131893,143740.0,65,23,1
148,AMHS Safety Management Coordinator,Government Management and Infrastructure,PD0656,PD06 ‐ Ferry System Administration,GP,200,19,A,71526,57618.0,65,16,-3
148,AMHS Safety Management Coordinator,Government Management and Infrastructure,PD0656,PD06 ‐ Ferry System Administration,GP,200,19,F,84767,77870.0,65,18,-1
148,AMHS Safety Management Coordinator,Government Management and Infrastructure,PD0656,PD06 ‐ Ferry System Administration,GP,200,19,O,106763,98121.0,65,18,-1
149,Marine Engineering Assistant Manager,Government Management and Infrastructure,PD0669,PD06 ‐ Ferry System Administration,SS,200,23,A,101795,103786.0,65,23,0
149,Marine Engineering Assistant Manager,Government Management and Infrastructure,PD0669,PD06 ‐ Ferry System Administration,SS,200,23,E,116688,124271.0,65,24,1
149,Marine Engineering Assistant Manager,Government Management and Infrastructure,PD0669,PD06 ‐ Ferry System Administration,SS,200,23,O,141357,141859.0,65,23,0
150,Marine Transportation Services Manager,Government Management and Infrastructure,PD0670,PD06 ‐ Ferry System Administration,XE,N00,25,A,109493,105761.0,65,24,-1
150,Marine Transportation Services Manager,Government Management and Infrastructure,PD0670,PD06 ‐ Ferry System Administration,XE,N00,25,F,130416,120319.0,65,24,-1
150,Marine Transportation Services Manager,Government Management and Infrastructure,PD0670,PD06 ‐ Ferry System Administration,XE,N00,25,O,157989,141117.0,65,23,-2
151,Equipment Fleet District Manager,Government Management and Infrastructure,PD0711,PD07‐ Maintenance Administration,SS,200,20,A,83470,86245.0,65,20,0
151,Equipment Fleet District Manager,Government Management and Infrastructure,PD0711,PD07‐ Maintenance Administration,SS,200,20,E,95326,103060.0,65,21,1
151,Equipment Fleet District Manager,Government Management and Infrastructure,PD0711,PD07‐ Maintenance Administration,SS,200,20,O,115502,123956.0,65,21,1
152,State Equipment Fleet Manager,Government Management and Infrastructure,PD0714,PD07‐ Maintenance Administration,SS,200,23,A,101795,104224.0,65,23,0
152,State Equipment Fleet Manager,Government Management and Infrastructure,PD0714,PD07‐ Maintenance Administration,SS,200,23,E,116688,119322.0,65,23,0
152,State Equipment Fleet Manager,Government Management and Infrastructure,PD0714,PD07‐ Maintenance Administration,SS,200,23,O,141357,143627.0,65,23,0
153,"Manager, Airfield Maintenance",Government Management and Infrastructure,PD0722,PD07‐ Maintenance Administration,SS,200,22,A,95326,91993.0,65,21,-1
153,"Manager, Airfield Maintenance",Government Management and Infrastructure,PD0722,PD07‐ Maintenance Administration,SS,200,22,E,108867,107124.0,65,22,0
153,"Manager, Airfield Maintenance",Government Management and Infrastructure,PD0722,PD07‐ Maintenance Administration,SS,200,22,O,131893,122256.0,65,21,-1
154,Maintenance and Operations Specialist,Government Management and Infrastructure,PD0731,PD07‐ Maintenance Administration,GP,200,21,A,81764,91175.0,65,23,2
154,Maintenance and Operations Specialist,Government Management and Infrastructure,PD0731,PD07‐ Maintenance Administration,GP,200,21,F,96759,108420.0,65,23,2
154,Maintenance and Operations Specialist,Government Management and Infrastructure,PD0731,PD07‐ Maintenance Administration,GP,200,21,O,122226,125664.0,65,21,0
155,Maintenance and Operations Superintendent,Government Management and Infrastructure,PD0732,PD07‐ Maintenance Administration,SS,200,21,A,89232,98738.0,65,23,2
155,Maintenance and Operations Superintendent,Government Management and Infrastructure,PD0732,PD07‐ Maintenance Administration,SS,200,21,E,101795,121116.0,65,24,3
155,Maintenance and Operations Superintendent,Government Management and Infrastructure,PD0732,PD07‐ Maintenance Administration,SS,200,21,O,123344,142812.0,65,23,2
156,Maintenance and Operations Manager,Government Management and Infrastructure,PD0733,PD07‐ Maintenance Administration,SS,200,23,A,101795,102004.0,65,23,0
156,Maintenance and Operations Manager,Government Management and Infrastructure,PD0733,PD07‐ Maintenance Administration,SS,200,23,E,116688,126741.0,65,24,1
156,Maintenance and Operations Manager,Government Management and Infrastructure,PD0733,PD07‐ Maintenance Administration,SS,200,23,O,141357,148428.0,65,24,1
157,Right‐of‐Way Assistant,Government Management and Infrastructure,PD0810,PD08 ‐ Real Estate Appraisal,GP,200,12,A,44402,46131.0,65,13,1
157,Right‐of‐Way Assistant,Government Management and Infrastructure,PD0810,PD08 ‐ Real Estate Appraisal,GP,200,12,F,52182,53786.0,65,12,0
157,Right‐of‐Way Assistant,Government Management and Infrastructure,PD0810,PD08 ‐ Real Estate Appraisal,GP,200,12,O,66008,61441.0,65,11,-1
158,Right‐of‐Way Agent 2,Government Management and Infrastructure,PD0812,PD08 ‐ Real Estate Appraisal,GP,200,16,A,57974,73695.0,65,19,3
158,Right‐of‐Way Agent 2,Government Management and Infrastructure,PD0812,PD08 ‐ Real Estate Appraisal,GP,200,16,F,69147,88221.0,65,20,4
158,Right‐of‐Way Agent 2,Government Management and Infrastructure,PD0812,PD08 ‐ Real Estate Appraisal,GP,200,16,O,87399,103741.0,65,19,3
159,Right‐of‐Way Agent 5,Government Management and Infrastructure,PD0815,PD08 ‐ Real Estate Appraisal,SS,200,21,A,89232,101584.0,65,23,2
159,Right‐of‐Way Agent 5,Government Management and Infrastructure,PD0815,PD08 ‐ Real Estate Appraisal,SS,200,21,E,101795,117176.0,65,23,2
159,Right‐of‐Way Agent 5,Government Management and Infrastructure,PD0815,PD08 ‐ Real Estate Appraisal,SS,200,21,O,123344,134459.0,65,22,1
160,Right‐of‐Way Review Appraiser 1,Government Management and Infrastructure,PD0821,PD08 ‐ Real Estate Appraisal,GP,200,21,A,81764,75162.0,65,20,-1
160,Right‐of‐Way Review Appraiser 1,Government Management and Infrastructure,PD0821,PD08 ‐ Real Estate Appraisal,GP,200,21,F,96759,101656.0,65,22,1
160,Right‐of‐Way Review Appraiser 1,Government Management and Infrastructure,PD0821,PD08 ‐ Real Estate Appraisal,GP,200,21,O,122226,131248.0,65,22,1
161,Appraiser 2,Government Management and Infrastructure,PD0842,PD08 ‐ Real Estate Appraisal,GP,200,18,A,66788,83285.0,65,21,3
161,Appraiser 2,Government Management and Infrastructure,PD0842,PD08 ‐ Real Estate Appraisal,GP,200,18,F,79268,95452.0,65,21,3
161,Appraiser 2,Government Management and Infrastructure,PD0842,PD08 ‐ Real Estate Appraisal,GP,200,18,O,99899,108653.0,65,19,1
162,State Assessor,Government Management and Infrastructure,PD0850,PD08 ‐ Real Estate Appraisal,SS,200,23,A,101795,110629.0,65,24,1
162,State Assessor,Government Management and Infrastructure,PD0850,PD08 ‐ Real Estate Appraisal,SS,200,23,E,116688,130771.0,65,25,2
162,State Assessor,Government Management and Infrastructure,PD0850,PD08 ‐ Real Estate Appraisal,SS,200,23,O,141357,147872.0,65,24,1
163,Building Management Specialist,Government Management and Infrastructure,PD0902,PD09 ‐ Property Management,GP,200,19,A,71526,81286.0,65,21,2
163,Building Management Specialist,Government Management and Infrastructure,PD0902,PD09 ‐ Property Management,GP,200,19,F,84767,94823.0,65,21,2
163,Building Management Specialist,Government Management and Infrastructure,PD0902,PD09 ‐ Property Management,GP,200,19,O,106763,111386.0,65,20,1
164,Facilities Manager 1,Government Management and Infrastructure,PD0921,PD09 ‐ Property Management,GP,200,20,A,76440,90518.0,65,23,3
164,Facilities Manager 1,Government Management and Infrastructure,PD0921,PD09 ‐ Property Management,GP,200,20,F,90539,105093.0,65,22,2
164,Facilities Manager 1,Government Management and Infrastructure,PD0921,PD09 ‐ Property Management,GP,200,20,O,114192,121686.0,65,21,1
165,Airport Leasing Specialist 2,Government Management and Infrastructure,PD0942,PD09 ‐ Property Management,GP,200,16,A,57974,74655.0,65,20,4
165,Airport Leasing Specialist 2,Government Management and Infrastructure,PD0942,PD09 ‐ Property Management,GP,200,16,F,69147,81554.0,65,18,2
165,Airport Leasing Specialist 2,Government Management and Infrastructure,PD0942,PD09 ‐ Property Management,GP,200,16,O,87399,88318.0,65,16,0
166,Airport Leasing Program Manager,Government Management and Infrastructure,PD0945,PD09 ‐ Property Management,SS,200,22,A,95326,96182.0,65,22,0
