Occupational_Group,Job_Family,Class_Code,Category,Range,Class_Title,SOC,EEO,State_and_Local_Job_Code,Census_EEO,AKPAY_Code
PC,PC05,PC0544,B,24,Oil and Gas Revenue Auditor 4,13-2081,EEO4-Professionals,2,930,P1276
PC,PC05,PC0545,B,25,Oil and Gas Revenue Specialist,13-2081,EEO4-Professionals,2,930,P1277
PC,PC05,PC0551,B,18,Corporate Income Tax Auditor 1,13-2081,EEO4-Professionals,2,930,P1282
PC,PC05,PC0552,B,20,Corporate Income Tax Auditor 2,13-2081,EEO4-Professionals,2,930,P1283
PC,PC05,PC0553,B,22,Corporate Income Tax Auditor 3,13-2081,EEO4-Professionals,2,930,P1284
PC,PC05,PC0554,B,24,Corporate Income Tax Auditor 4,13-2081,EEO4-Professionals,2,930,P1285
PC,PC05,PC0556,B,25,Income and Excise Tax Specialist,13-2081,EEO4-Professionals,2,930,P1286
PC,PC05,PC0562,B,19,Audit and Review Analyst 1,13-2011,EEO4-Professionals,2,800,P1291
PC,PC05,PC0563,B,21,Audit and Review Analyst 2,13-2011,EEO4-Professionals,2,800,P1292
PC,PC05,PC0564,B,23,Audit and Review Analyst 3,13-2011,EEO4-Professionals,2,800,P1293
PC,PC05,PC0565,B,25,Audit and Review Analyst 4,13-2011,EEO4-Professionals,2,800,P1294
PC,PC05,PC0567,B,24,Forensic Accountant,13-2011,EEO4-Professionals,2,800,K0140
PC,PC05,PC0569,A,15,Unclaimed Property Agent,43-3011,EEO4-Administrative Support,6,5100,K0052
PC,PC05,PC0570,B,18,Unclaimed Property Manager,43-1011,EEO4-Professionals,6,5000,P1271
PC,PC05,PC0571,B,23,"Supervisor, Unemployment Insurance Tax",11-3031,EEO4-Professionals,1,120,P4633
PC,PC05,PC0580,B,26,State Petroleum Property Assessor,13-2021,EEO4-Professionals,2,810,P1266
PC,PC05,PC0590,B,27,"Deputy Director, Tax Division",11-1021,EEO4-Officials & Administrators,1,20,P1267
PD,PD01,PD0101,B,13,Local Government Specialist 1,13-1111,EEO4-Professionals,2,710,P1871
PD,PD01,PD0102,B,15,Local Government Specialist 2,13-1111,EEO4-Professionals,2,710,P1872
PD,PD01,PD0103,B,17,Local Government Specialist 3,13-1111,EEO4-Professionals,2,710,P1873
PD,PD01,PD0104,B,19,Local Government Specialist 4,13-1111,EEO4-Professionals,2,710,P1874
PD,PD01,PD0105,B,21,Local Government Specialist 5,13-1111,EEO4-Professionals,2,710,P1875
PD,PD01,PD0122,A,16,Regulations Specialist 2,23-2011,EEO4-Administrative Support,6,2145,P2341
PD,PD01,PD0131,B,24,"Executive Director, Public Offices Commission",11-1021,EEO4-Officials & Administrators,1,20,P1012
PD,PD02,PD0201,B,16,Economist 1,19-3011,EEO4-Professionals,2,1800,P2206
PD,PD02,PD0202,B,18,Economist 2,19-3011,EEO4-Professionals,2,1800,P2207
PD,PD02,PD0203,B,20,Economist 3,19-3011,EEO4-Professionals,2,1800,P2208
PD,PD02,PD0204,B,22,Economist 4,19-3011,EEO4-Professionals,2,1800,P2209
PD,PD02,PD0209,B,26,"Chief, Revenue Economic Research",11-3031,EEO4-Professionals,1,120,P2210
PD,PD02,PD0221,B,20,Petroleum Economist 1,13-1161,EEO4-Professionals,2,735,P2214
PD,PD02,PD0222,B,22,Petroleum Economist 2,13-1161,EEO4-Professionals,2,735,P2215
PD,PD02,PD0224,B,24,Petroleum Economic Policy Analyst,19-3011,EEO4-Professionals,2,1800,K0065
PD,PD02,PD0230,B,24,"Chief, Labor Research and Analysis",11-9199,EEO4-Professionals,1,430,P2229
PD,PD03,PD0311,B,18,Development Specialist 1 (Option A),13-1161,EEO4-Professionals,2,735,P2286
PD,PD03,PD0312,B,18,Development Specialist 1 (Option B),13-1161,EEO4-Professionals,2,735,P2287
PD,PD03,PD0313,B,20,Development Specialist 2 (Option A),13-1161,EEO4-Professionals,2,735,P2288
PD,PD03,PD0314,B,20,Development Specialist 2 (Option B),13-1161,EEO4-Professionals,2,735,P2289
PD,PD03,PD0331,B,15,Planner 1,19-3051,EEO4-Professionals,2,1840,P2291
PD,PD03,PD0332,B,17,Planner 2,19-3051,EEO4-Professionals,2,1840,P2292
PD,PD03,PD0333,B,19,Planner 3,19-3051,EEO4-Professionals,2,1840,P2293
PD,PD03,PD0334,B,22,Planner 4,19-3051,EEO4-Professionals,2,1840,P2294
PD,PD03,PD0341,B,21,Transportation Planner 1,19-3051,EEO4-Professionals,2,1840,P2296
PD,PD03,PD0342,B,22,Transportation Planner 2,19-3051,EEO4-Professionals,2,1840,P2297
PD,PD03,PD0343,B,24,Transportation Planner 3,19-3051,EEO4-Professionals,2,1840,P2298
PD,PD03,PD0350,B,21,Alaska International Airport System Planner,19-3051,EEO4-Professionals,2,1840,P2299
PD,PD03,PD0361,B,21,Telecommunications Planner,15-1244,EEO4-Professionals,2,1105,P2255
PD,PD04,PD0411,B,14,Emergency Management Specialist 1,11-9161,EEO4-Professionals,1,430,P1937
PD,PD04,PD0412,B,16,Emergency Management Specialist 2,11-9161,EEO4-Professionals,1,430,P1938
PD,PD04,PD0413,B,18,Emergency Management Specialist 3,11-9161,EEO4-Professionals,1,430,P1939
PD,PD04,PD0421,B,20,Emergency Program Manager 1,11-9161,EEO4-Professionals,1,425,P1941
PD,PD04,PD0422,B,22,Emergency Program Manager 2,11-9161,EEO4-Professionals,1,425,P1942
PD,PD04,PD0442,A,15,Emergency Services Dispatcher 1,43-5031,EEO4-Administrative Support,6,5520,P1115
PD,PD04,PD0443,A,16,Emergency Services Dispatcher 2,43-5031,EEO4-Administrative Support,6,5520,P1118
PD,PD04,PD0450,B,18,Emergency Dispatch Supervisor,43-1011,EEO4-Administrative Support,6,5000,P1120
PD,PD04,PD0460,A,17,Safety and Emergency Support Specialist,33-9099,EEO4-Protective Service Workers - Nonsworn,5,3955,P7852
PD,PD04,PD04A1,A,11,Wildland Fire Dispatcher 1,43-5031,EEO4-Paraprofessionals,6,5520,
PD,PD04,PD04A2,A,13,Wildland Fire Dispatcher 2,43-5031,EEO4-Paraprofessionals,6,5520,
PD,PD04,PD04A3,A,15,Wildland Fire Dispatcher 3,43-5031,EEO4-Paraprofessionals,6,5520,
PD,PD04,PD04B1,B,17,Wildland Fire Dispatch Coordinator 1,43-5031,EEO4-Professionals,6,5520,
PD,PD04,PD04B2,B,19,Wildland Fire Dispatch Coordinator 2,43-5031,EEO4-Professionals,6,5520,
PD,PD05,PD0501,B,25,Airport Manager - Anchorage International Airport,11-3071,EEO4-Professionals,1,160,P1975
PD,PD05,PD0502,B,24,Airport Manager - Fairbanks International Airport,11-3071,EEO4-Professionals,1,160,P1974
PD,PD05,PD0505,B,24,International Airports Controller,11-3031,EEO4-Professionals,1,120,P1962
PD,PD05,PD0511,B,18,Airport Operations Officer,53-2022,EEO4-Professionals,3,9040,P1965
PD,PD05,PD0512,B,19,Airport Operations Specialist,53-2022,EEO4-Professionals,3,9040,P1964
PD,PD05,PD0513,B,21,Airport Operations Superintendent,53-2022,EEO4-Professionals,3,9040,P1966
PD,PD05,PD0562,B,18,Regional Safety and Airport Security Officer,33-9099,EEO4-Protective Service Workers - Nonsworn,5,3955,P7870
PD,PD06,PD0611,C,13,Ferry Terminal Agent 1,53-6099,EEO4-Service/Maintenance,8,9420,P2152
PD,PD06,PD0612,C,14,Ferry Terminal Agent 2,53-6099,EEO4-Service/Maintenance,8,9420,P2149
PD,PD06,PD0615,A,15,Ferry Terminal Manager 1,53-6099,EEO4-Service/Maintenance,8,9420,P2150
PD,PD06,PD0616,A,16,Ferry Terminal Manager 2,53-6099,EEO4-Service/Maintenance,8,9420,P2151
PD,PD06,PD0620,B, 18 ,AMHS Dispatch Manager,43-1011,EEO4-Professionals,6,5000,P1418
PD,PD06,PD0632,A,16,Reservation Call Center Supervisor,43-1011,EEO4-Professionals,6,5000,
PD,PD06,PD0639,B,23,Marine Traffic Manager,13-1199,EEO4-Professionals,2,740,P2148
PD,PD06,PD0642,B,20,Marine Pilot Coordinator,13-1041,EEO4-Professionals,2,565,P1959
PD,PD06,PD0643,B,17,Vessel Scheduling Coordinator,13-1199,EEO4-Professionals,2,740,P2140
PD,PD06,PD0644,B,17,Passenger Services Inspector,11-3071,EEO4-Professionals,1,160,P1969
PD,PD06,PD0646,B, 23 ,AMHS Passenger Services Manager,11-3071,EEO4-Professionals,2,160,P1970
PD,PD06,PD0648,B,19,AMHS Security Officer,11-3071,EEO4-Professionals,1,160,P1960
PD,PD06,PD0653,B,23,Port Captain,53-5021,EEO4-Professionals,1,9310,P8694
PD,PD06,PD0655,B,22,Port Engineer,53-5031,EEO4-Professionals,7,9000,K0168
PD,PD06,PD0656,B,19,AMHS Safety Management Coordinator,19-5011,EEO4-Professionals,3,1965,K0079
PD,PD06,PD0669,B,23,Marine Engineering Assistant Manager,11-3071,EEO4-Officials & Administrators,1,160,K0100
PD,PD06,PD0670,B, 25 ,Marine Transportation Services Manager,11-3071,EEO4-Officials & Administrators,1,160,P1971
PD,PD07,PD0711,B,20,Equipment Fleet District Manager,11-1021,EEO4-Professionals,1,20,P9711
PD,PD07,PD0714,B,23,State Equipment Fleet Manager,11-1021,EEO4-Professionals,1,20,P9714
PD,PD07,PD0721,B,20,"Assistant Manager, Airfield Maintenance",11-3071,EEO4-Professionals,1,160,P9721
PD,PD07,PD0722,B,22,"Manager, Airfield Maintenance",11-3071,EEO4-Professionals,1,160,P1972
PD,PD07,PD0731,B,21,Maintenance and Operations Specialist,11-3071,EEO4-Professionals,1,160,P9747
PD,PD07,PD0732,B,21,Maintenance and Operations Superintendent,11-1021,EEO4-Officials & Administrators,1,20,P9441
PD,PD07,PD0733,B,23,Maintenance and Operations Manager,11-3071,EEO4-Professionals,1,160,P9748
PD,PD08,PD0810,A,12,Right-of-Way Assistant,43-4199,EEO4-Professionals,6,5420,P2710
PD,PD08,PD0811,B,14,Right-of-Way Agent 1,41-9022,EEO4-Professionals,6,4920,P2711
PD,PD08,PD0812,B,16,Right-of-Way Agent 2,41-9022,EEO4-Professionals,6,4920,P2712
PD,PD08,PD0813,B,18,Right-of-Way Agent 3,41-9022,EEO4-Professionals,6,4920,P2713
PD,PD08,PD0814,B,20,Right-of-Way Agent 4,41-9022,EEO4-Professionals,6,4920,P2714
PD,PD08,PD0815,B,21,Right-of-Way Agent 5,41-9022,EEO4-Professionals,6,4920,P2715
PD,PD08,PD0816,B,23,Right-of-Way Agent 6,41-9022,EEO4-Professionals,6,4920,P2716
PD,PD08,PD0821,B,21,Right-of-Way Review Appraiser 1,13-2023,EEO4-Professionals,2,810,P2708
PD,PD08,PD0822,B,22,Right-of-Way Review Appraiser 2,13-2023,EEO4-Professionals,2,810,P2709
PD,PD08,PD0841,B,16,Appraiser 1,13-2021,EEO4-Professionals,2,810,P2621
PD,PD08,PD0842,B,18,Appraiser 2,13-2022,EEO4-Professionals,2,810,P2622
PD,PD08,PD0843,B,21,Appraiser 3,13-2022,EEO4-Professionals,2,810,P2623
PD,PD08,PD0850,B,23,State Assessor,13-2022,EEO4-Professionals,2,810,P2655
PD,PD08,PD0851,B,21,Assistant State Assessor,13-2022,EEO4-Professionals,2,810,P2656
PD,PD09,PD0901,A,14,Building Management Assistant,37-1011,EEO4-Professionals,8,4200,P8456
PD,PD09,PD0902,B,19,Building Management Specialist,11-9021,EEO4-Professionals,1,220,P8458
PD,PD09,PD0921,B,20,Facilities Manager 1,11-9199,EEO4-Professionals,1,430,P2252
PD,PD09,PD0922,B,21,Facilities Manager 2,11-9199,EEO4-Professionals,1,430,P2253
PD,PD09,PD0941,B,14,Airport Leasing Specialist 1,41-9021,EEO4-Professionals,6,4920,P2964
PD,PD09,PD0942,B,16,Airport Leasing Specialist 2,41-9021,EEO4-Professionals,6,4920,P2965
PD,PD09,PD0943,B,18,Airport Leasing Specialist 3,41-9021,EEO4-Professionals,6,4920,P2966
PD,PD09,PD0944,B,20,Airport Leasing Specialist 4,41-9021,EEO4-Professionals,6,4920,P2967
PD,PD09,PD0945,B,22,Airport Leasing Program Manager,11-9141,EEO4-Professionals,1,410,K0001
PD,PD09,PD0951,B,25,State Leasing & Facilities Manager,11-9141,EEO4-Professionals,1,410,P2910
PE,PE01,PE0101,B,21,Education Administrator 1,11-9039,EEO4-Professionals,1,230,P3170
PE,PE01,PE0102,B,22,Education Administrator 2,11-9039,EEO4-Professionals,1,230,P3171
PE,PE01,PE0110,A,12,Education Program Assistant,25-9042,EEO4-Professionals,6,2540,P3156
PE,PE01,PE0111,A,13,Education Associate 1,25-9042,EEO4-Professionals,6,2540,P3157
PE,PE01,PE0112,A,15,Education Associate 2,25-9042,EEO4-Professionals,6,2540,P3158
PE,PE01,PE0113,A,17,Education Associate 3,25-9042,EEO4-Professionals,6,2540,P3159
PE,PE01,PE0121,B,19,Education Specialist 1,25-9031,EEO4-Professionals,2,2550,P3160
PE,PE01,PE0122,B,21,Education Specialist 2,25-9031,EEO4-Professionals,2,2550,P3161
PE,PE01,PE0130,B,22,Nutrition Programs Manager,29-1031,EEO4-Professionals,2,3030,P5463
PE,PE01,PE0140,B,16,Education Coordinator (Corrections),25-3099,EEO4-Professionals,2,2340,P3140
PE,PE01,PE0191,B,24,Executive Secretary Professional Teaching Practice Commission,11-9039,EEO4-Professionals,1,230,P3110
PE,PE02,PE0201,B,00,AVTEC Instructor,25-1194,EEO4-Professionals,2,2200,P3181
PE,PE02,PE0210,B,16,Vocational Instructor,25-3099,EEO4-Professionals,2,2340,K0157
PE,PE02,PE0231,B,16,Training Specialist 1,13-1151,EEO4-Professionals,2,650,P1471
PE,PE02,PE0232,B,18,Training Specialist 2,13-1151,EEO4-Professionals,2,650,P1472
PE,PE02,PE0233,B,20,Training Specialist 3,13-1151,EEO4-Professionals,2,650,P1473
PE,PE02,PE0251,B,16,AK Military Youth Academy (AMYA) Instructor,25-3011,EEO4-Professionals,2,2340,P3123
PE,PE02,PE0252,B,15,AK Military Youth Academy (AMYA) Chief Examiner,25-3011,EEO4-Professionals,2,2340,P3124
PE,PE02,PE0253,B,16,AK Military Youth Academy (AMYA) Coordinator,21-1012,EEO4-Professionals,2,2000,P3125
PE,PE02,PE0254,B,17,AK Military Youth Academy (AMYA) Supervisor 1,11-9032,EEO4-Professionals,1,230,P3126
PE,PE02,PE0255,B,19,AK Military Youth Academy (AMYA) Supervisor 2,11-9032,EEO4-Professionals,1,230,P3127
PE,PE02,PE0259,B,23,AK Military Youth Academy (AMYA) Manager,11-9032,EEO4-Professionals,1,230,P3128
PE,PE03,PE0310,A,11,Recreation Assistant,39-9032,EEO4-Service/Maintenance,8,4620,P3220
PE,PE03,PE0320,A,11,Dormitory Attendant,39-9041,EEO4-Service/Maintenance,8,4640,P7805
PE,PE03,PE0341,A,13,AK Military Youth Academy (AMYA) Team Leader,25-9042,EEO4-Administrative Support,6,2540,P3121
PE,PE03,PE0342,A,15,AK Military Youth Academy (AMYA) Platoon Leader,25-9042,EEO4-Administrative Support,6,2540,P3122
PE,PE03,PE0350,B,17,Aquatic Facility Manager,11-9072,EEO4-Officials & Administrators,1,330,
PE,PE03,PE0352,C,09,Lifeguard 1,33-9092,EEO4-Protective Service Workers - Nonsworn,5,3955,
PE,PE03,PE0353,C,11,Lifeguard 2,33-9092,EEO4-Protective Service Workers - Nonsworn,5,3955,
PE,PE03,PE0354,A,13,Head Lifeguard,33-9092,EEO4-Protective Service Workers - Nonsworn,5,3955,
PE,PE04,PE0401,A,11,Library Assistant 1,43-4121,EEO4-Administrative Support,6,5350,P3570
PE,PE04,PE0402,A,13,Library Assistant 2,43-4121,EEO4-Administrative Support,6,5350,P3571
PE,PE04,PE0411,B,16,Librarian 1,25-4022,EEO4-Professionals,2,2430,P3573
PE,PE04,PE0412,B,18,Librarian 2,25-4022,EEO4-Professionals,2,2430,P3574
PE,PE04,PE0413,B,20,Librarian 3,25-4022,EEO4-Professionals,2,2430,P3575
PE,PE04,PE0414,B,22,Librarian 4,25-4022,EEO4-Professionals,2,2430,P3577
PE,PE04,PE0430,B,16,Records Analyst 1,25-4011,EEO4-Professionals,2,2400,K0044
PE,PE04,PE0431,B,18,Records Analyst 2,25-4011,EEO4-Professionals,2,2400,P3584
PE,PE04,PE0432,B,20,Records Analyst 3,25-4011,EEO4-Professionals,2,2400,P3585
PE,PE04,PE0440,B,16,Archivist 1,25-4011,EEO4-Professionals,2,2400,K0043
PE,PE04,PE0441,B,18,Archivist 2,25-4011,EEO4-Professionals,2,2400,P3581
PE,PE04,PE0442,B,20,Archivist 3,25-4011,EEO4-Professionals,2,2400,P3582
PE,PE04,PE0443,B,22,State Archivist,25-4011,EEO4-Professionals,2,2400,P3580
PE,PE04,PE0450,B,16,Museum Registrar,25-4013,EEO4-Professionals,2,2400,P3520
PE,PE05,PE0511,B,16,Museum Curator 1,25-4012,EEO4-Professionals,2,2400,P3523
PE,PE05,PE0512,B,18,Museum Curator 2,25-4012,EEO4-Professionals,2,2400,P3524
PE,PE05,PE0515,B,19,Museum Conservator,25-4013,EEO4-Professionals,2,2400,P3521
PE,PE05,PE0519,B,22,Chief Curator,25-4012,EEO4-Professionals,2,2400,P3526
PE,PE05,PE0531,B,16,Archaeologist 1,19-3091,EEO4-Professionals,2,1860,P6746
PE,PE05,PE0532,B,18,Archaeologist 2,19-3091,EEO4-Professionals,2,1860,P6747
PE,PE05,PE0533,B,19,Archaeologist 3,19-3091,EEO4-Professionals,2,1860,P6748
PE,PE05,PE0541,B,16,Historian 1,19-3093,EEO4-Professionals,2,1860,P6744
PE,PE05,PE0542,B,18,Historian 2,19-3093,EEO4-Professionals,2,1860,P6745
PE,PE05,PE0543,B,19,Historian 3,19-3093,EEO4-Professionals,2,1860,P6743
PE,PE05,PE0550,B,21,"Chief, Office of History and Archaeology",11-9121,EEO4-Professionals,1,360,P6766
PE,PE05,PE0581,B,14,Subsistence Resource Specialist 1,19-3099,EEO4-Professionals,2,1860,P6193
PE,PE05,PE0582,B,16,Subsistence Resource Specialist 2,19-3099,EEO4-Professionals,2,1860,P6194
PE,PE05,PE0583,B,18,Subsistence Resource Specialist 3,19-3099,EEO4-Professionals,2,1860,P6197
PE,PE05,PE0585,B,22,Subsistence Program Manager,11-9121,EEO4-Professionals,1,360,P6198
PE,PE06,PE0611,B,17,Visual Information Specialist,27-4011,EEO4-Technicians,3,2900,P3612
PE,PE06,PE0615,B,17,Exhibit Specialist,25-4013,EEO4-Professionals,2,2400,P3641
PE,PE06,PE0621,A,11,Publications Technician 1,27-3099,EEO4-Professionals,2,2860,P3604
PE,PE06,PE0622,A,13,Publications Technician 2,27-3099,EEO4-Professionals,2,2860,P3605
PE,PE06,PE0631,B,13,Publications Specialist 1,27-3099,EEO4-Professionals,2,2860,P3606
PE,PE06,PE0632,B,16,Publications Specialist 2,27-3099,EEO4-Professionals,2,2860,P3607
PE,PE06,PE0633,B,19,Publications Specialist 3,27-3099,EEO4-Professionals,2,2860,P3608
PE,PE06,PE0641,B,14,Information Officer 1,27-3031,EEO4-Professionals,2,2825,P3613
PE,PE06,PE0642,B,17,Information Officer 2,27-3031,EEO4-Professionals,2,2825,P3614
PE,PE06,PE0643,B,20,Information Officer 3,27-3031,EEO4-Professionals,2,2825,P3615
PE,PE06,PE0645,B,22,Department Communications Manager,11-2031,EEO4-Professionals,1,60,K0078
PF,PF01,PF0111,A,13,Eligibility Technician 1,43-4061,EEO4-Technicians,6,5250,P4171
PF,PF01,PF0112,A,14,Eligibility Technician 2,43-4061,EEO4-Technicians,6,5250,P4172
PF,PF01,PF0113,A,16,Eligibility Technician 3,43-4061,EEO4-Technicians,6,5250,P4173
PF,PF01,PF0114,A,17,Eligibility Technician 4,43-4061,EEO4-Technicians,6,5250,P4174
PF,PF01,PF0116,A,16,Eligibility Quality Control Technician 1,43-4061,EEO4-Professionals,6,5250,P4121
PF,PF01,PF0117,A,18,Eligibility Quality Control Technician 2,43-4061,EEO4-Professionals,6,5250,P4122
PF,PF01,PF0118,B,18,Eligibility Office Manager 1,43-1011,EEO4-Professionals,6,5000,K0086
PF,PF01,PF0119,B,19,Eligibility Office Manager 2,43-1011,EEO4-Professionals,6,5000,K0087
PF,PF01,PF0120,A,14,Medicaid Program Associate,11-9151,EEO4-Paraprofessionals,1,420,
PF,PF01,PF0121,B,16,Medicaid Program Specialist 1,11-9151,EEO4-Professionals,1,420,P4180
PF,PF01,PF0122,B,18,Medicaid Program Specialist 2,11-9151,EEO4-Professionals,1,420,P4181
PF,PF01,PF0123,B,20,Medicaid Program Specialist 3,11-9151,EEO4-Professionals,1,420,P4182
PF,PF01,PF0124,B,21,Medicaid Program Specialist 4,11-9151,EEO4-Professionals,1,420,P4183
PF,PF01,PF0125,B,22,Medicaid Program Specialist 5,11-9151,EEO4-Professionals,1,420,
PF,PF01,PF0131,A,10,PFD Technician 1,43-4061,EEO4-Administrative Support,6,5250,P1215
PF,PF01,PF0132,A,12,PFD Technician 2,43-4061,EEO4-Administrative Support,6,5250,P1216
PF,PF01,PF0133,A,14,PFD Technician 3,43-4061,EEO4-Administrative Support,6,520,P1217
PF,PF01,PF0136,B,16,PFD Specialist 1,43-4061,EEO4-Professionals,6,5250,P1218
PF,PF01,PF0137,B,18,PFD Specialist 2,43-4061,EEO4-Professionals,6,5250,P1219
PF,PF01,PF0139,B,22,PFD Manager,11-1021,EEO4-Professionals,1,20,P1270
PF,PF01,PF0151,B,16,Public Assistance Analyst 1,21-1091,EEO4-Professionals,2,2025,P4127
PF,PF01,PF0152,B,18,Public Assistance Analyst 2,21-1091,EEO4-Professionals,2,2025,P4128
PF,PF01,PF0153,B,19,Public Assistance Field Services Manager 1,11-9151,EEO4-Professionals,1,420,P4162
PF,PF01,PF0154,B,21,Public Assistance Field Services Manager 2,11-9151,EEO4-Professionals,1,420,P4163
PF,PF01,PF0157,B,21,Public Assistance Programs Officer,11-9151,EEO4-Professionals,1,420,P4125
PF,PF01,PF0160,A,12,Workers' Compensation Technician,13-1031,EEO4-Professionals,2,540,P4694
PF,PF01,PF0161,B,16,Workers' Compensation Officer 1,13-1031,EEO4-Professionals,2,540,P4695
PF,PF01,PF0162,B,18,Workers' Compensation Officer 2,13-1031,EEO4-Professionals,2,540,P4696
PF,PF01,PF0171,B,20,Social Services Program Coordinator,11-9151,EEO4-Professionals,1,420,P4135
PF,PF01,PF0172,B,21,Social Services Program Officer,11-9151,EEO4-Professionals,1,420,P4136
PF,PF01,PF0173,B,23,Social Services Program Administrator,11-9151,EEO4-Professionals,1,420,P4138
PF,PF01,PF0186,B,22,"Chief, Disability Determination Services",11-9151,EEO4-Professionals,1,420,K0059
PF,PF01,PF0193,B,22,"Chief, Public Assistance Field Operations",11-9151,EEO4-Professionals,1,420,P4124
PF,PF01,PF01A1,B,16,Child Support Enforcement Specialist 1,21-1029,EEO4-Professionals,2,2014,
PF,PF01,PF01A2,B,18,Child Support Enforcement Specialist 2,21-1029,EEO4-Professionals,2,2014,
PF,PF01,PF01A3,B,20,Child Support Enforcement Specialist 3,21-1029,EEO4-Professionals,2,2014,
PF,PF01,PF01B1,A,13,Disability Support Technician,43-4061,EEO4-Paraprofessionals,6,5940,P4244
PF,PF01,PF01C1,B,15,Disability Adjudicator 1,13-1141,EEO4-Professionals,2,540,P4242
PF,PF01,PF01C2,B,17,Disability Adjudicator 2,13-1141,EEO4-Professionals,2,540,P4243
PF,PF01,PF01C3,B,19,Disability Adjudicator 3,13-1141,EEO4-Professionals,2,540,P4240
PF,PF01,PF01C4,B,20,Disability Adjudicator 4,13-1141,EEO4-Professionals,2,540,P4241
PF,PF01,PF01C5,B,21,Disability Adjudicator 5,13-1141,EEO4-Professionals,2,540,N/A
PF,PF02,PF0201,B,15,Protective Services Specialist 1,21-1029,EEO4-Professionals,2,2010,K0111
PF,PF02,PF0202,B,17,Protective Services Specialist 2,21-1029,EEO4-Professionals,2,2010,K0112
PF,PF02,PF0203,B,19,Protective Services Specialist 3,21-1029,EEO4-Professionals,2,2010,K0113
PF,PF02,PF0204,B,20,Protective Services Specialist 4,21-1029,EEO4-Professionals,2,2010,K0114
PF,PF02,PF0205,B,21,Protective Services Manager 1,11-9151,EEO4-Officials & Administrators,1,420,K0115
PF,PF02,PF0206,B,22,Protective Services Manager 2,11-9151,EEO4-Professionals,1,420,K0116
PF,PF02,PF0222,A,12,Social Services Associate,21-1093,EEO4-Professionals,2,2025,P4106
PF,PF03,PF0301,B,15,Civil Rights Programs and Compliance Specialist 1,13-1199,EEO4-Professionals,2,740,K0082
PF,PF03,PF0302,B,17,Civil Rights Programs and Compliance Specialist 2,13-1199,EEO4-Professionals,2,740,K0083
PF,PF03,PF0303,B,19,Civil Rights Programs and Compliance Specialist 3,13-1199,EEO4-Professionals,2,740,K0084
PF,PF03,PF0310,B,19,Chaplain,21-2011,EEO4-Professionals,2,2040,P4250
PF,PF03,PF0318,B,18,State ADA Coordinator,13-1199,EEO4-Professionals,2,740,K0081
PF,PF03,PF0321,B,13,Human Rights Field Representative 1,13-1041,EEO4-Professionals,2,565,P4204
PF,PF03,PF0322,B,16,Human Rights Field Representative 2,13-1041,EEO4-Professionals,2,565,P4206
PF,PF03,PF0323,B,18,Human Rights Field Representative 3,13-1041,EEO4-Professionals,2,565,P4207
PF,PF03,PF0324,B,20,Human Rights Field Representative 4,13-1041,EEO4-Professionals,2,565,P4208
PF,PF03,PF0341,A,12,Senior Services Technician,43-4061,EEO4-Administrative Support,6,5250,P4280
PF,PF03,PF0372,A,16,American Sign Language (ASL) Interpreter,27-3091,EEO4-Professionals,2,2860,P3602
PF,PF03,PF03A1,B,16,Public Guardian 1,21-1093,EEO4-Professionals,2,2025,
PF,PF03,PF03A2,B,18,Public Guardian 2,21-1093,EEO4-Professionals,2,2025,P4260
PF,PF03,PF03A3,B,20,Public Guardian 3,21-1093,EEO4-Professionals,2,2025,
PF,PF03,PF03A4,B,22,Public Guardian 4,21-1093,EEO4-Professionals,2,2025,
PF,PF04,PF0411,A,10,Vocational Rehabilitation Assistant 1,21-1093,EEO4-Professionals,6,2016,P3331
PF,PF04,PF0412,A,12,Vocational Rehabilitation Assistant 2,21-1093,EEO4-Professionals,6,2016,P3332
PF,PF04,PF0413,A,13,Vocational Rehabilitation Assistant 3,21-1093,EEO4-Professionals,6,2016,P3333
PF,PF04,PF0431,B,15,Vocational Rehabilitation Counselor 1,21-1015,EEO4-Professionals,2,2000,P3340
PF,PF04,PF0432,B,17,Vocational Rehabilitation Counselor 2,21-1015,EEO4-Professionals,2,2000,P3341
PF,PF04,PF0433,B,19,Vocational Rehabilitation Counselor 3,21-1015,EEO4-Professionals,2,2000,P3343
PF,PF04,PF0460,B,21,Vocational Rehabilitation Manager,11-9151,EEO4-Professionals,1,420,P3342
PF,PF04,PF0471,B,22,"Assistant Chief, Vocational Rehabilitation Services",11-9151,EEO4-Professionals,1,420,P3327
PF,PF04,PF0472,B,23,"Chief, Vocational Rehabilitation Services",11-9151,EEO4-Professionals,1,420,P3328
PF,PF05,PF0501,B,15,Employment Counselor 1,21-1012,EEO4-Professionals,2,2000,P4616
PF,PF05,PF0502,B,17,Employment Counselor 2,21-1012,EEO4-Professionals,2,2000,P4617
PF,PF05,PF0511,B,15,Employment Security Analyst 1,13-1141,EEO4-Professionals,2,640,P4659
PF,PF05,PF0512,B,17,Employment Security Analyst 2,13-1141,EEO4-Professionals,2,640,P4660
PF,PF05,PF0513,B,18,Employment Security Analyst 3,13-1141,EEO4-Professionals,2,640,P4661
PF,PF05,PF0516,B,20,Employment/Unemployment Insurance Technical Manager,11-9151,EEO4-Professionals,1,420,K0080
PF,PF05,PF0521,A,14,Employment Services Technician 1,13-1071,EEO4-Professionals,2,630,P4649
PF,PF05,PF0522,A,15,Employment Services Technician 2,13-1071,EEO4-Professionals,2,630,P4650
